Var1	Freq
Citalopram	13631
Citalopram-Escitalopram	7892
Citalopram-Escitalopram-Fluoxetine	2847
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine	300
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine	155
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	210
Citalopram-Escitalopram-Fluoxetine-Fluvoxamine-Sertraline	300
Citalopram-Escitalopram-Fluoxetine-Paroxetine	664
Citalopram-Escitalopram-Fluoxetine-Paroxetine-Sertraline	730
Citalopram-Escitalopram-Fluoxetine-Sertraline	1692
Citalopram-Escitalopram-Fluvoxamine	411
Citalopram-Escitalopram-Fluvoxamine-Paroxetine	68
Citalopram-Escitalopram-Fluvoxamine-Paroxetine-Sertraline	95
Citalopram-Escitalopram-Fluvoxamine-Sertraline	220
Citalopram-Escitalopram-Paroxetine	1044
Citalopram-Escitalopram-Paroxetine-Sertraline	728
Citalopram-Escitalopram-Sertraline	2712
Citalopram-Fluoxetine	4276
Citalopram-Fluoxetine-Fluvoxamine	327
Citalopram-Fluoxetine-Fluvoxamine-Paroxetine	156
Citalopram-Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	100
Citalopram-Fluoxetine-Fluvoxamine-Sertraline	216
Citalopram-Fluoxetine-Paroxetine	858
Citalopram-Fluoxetine-Paroxetine-Sertraline	520
Citalopram-Fluoxetine-Sertraline	1677
Citalopram-Fluvoxamine	642
Citalopram-Fluvoxamine-Paroxetine	147
Citalopram-Fluvoxamine-Paroxetine-Sertraline	84
Citalopram-Fluvoxamine-Sertraline	222
Citalopram-Paroxetine	1370
Citalopram-Paroxetine-Sertraline	600
Citalopram-Sertraline	3472
Escitalopram	11874
Escitalopram-Fluoxetine	3046
Escitalopram-Fluoxetine-Fluvoxamine	177
Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine	48
Escitalopram-Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	60
Escitalopram-Fluoxetine-Fluvoxamine-Sertraline	144
Escitalopram-Fluoxetine-Paroxetine	552
Escitalopram-Fluoxetine-Paroxetine-Sertraline	380
Escitalopram-Fluoxetine-Sertraline	1320
Escitalopram-Fluvoxamine	304
Escitalopram-Fluvoxamine-Paroxetine	60
Escitalopram-Fluvoxamine-Paroxetine-Sertraline	48
Escitalopram-Fluvoxamine-Sertraline	132
Escitalopram-Paroxetine	1038
Escitalopram-Paroxetine-Sertraline	483
Escitalopram-Sertraline	2964
Fluoxetine	5010
Fluoxetine-Fluvoxamine	270
Fluoxetine-Fluvoxamine-Paroxetine	30
Fluoxetine-Fluvoxamine-Paroxetine-Sertraline	64
Fluoxetine-Fluvoxamine-Sertraline	111
Fluoxetine-Paroxetine	672
Fluoxetine-Paroxetine-Sertraline	345
Fluoxetine-Sertraline	1482
Fluvoxamine	471
Fluvoxamine-Paroxetine	100
Fluvoxamine-Paroxetine-Sertraline	42
Fluvoxamine-Sertraline	172
Paroxetine	1500
Paroxetine-Sertraline	450
Sertraline	3603
